rank,symbol,name,sector,price,chg,chg_pct,high_52w,low_52w,volume,weight,market_cap_cr,market_cap_raw
109,DNCC,Dandot Cement Company Limited,CEMENT,14.28,-0.34,-2.33%,28.07,11.5,2.98 Lac,0.04,451.76,451.76 Cr
110,KML,Kohinoor Mills Limited,TEXTILE COMPOSITE,8.66,-0.16,-1.81%,146.77,7.1,23.14 Lac,0.02,440.89,440.89 Cr
111,ANL,Azgard Nine Limited,TEXTILE COMPOSITE,8.97,0.03,0.34%,13.7,6.4,1.57 Lac,0.07,435.41,435.41 Cr
112,FECTC,Fecto Cement Limited,CEMENT,85.76,2.56,3.08%,195.75,55.0,2.75 Lac,0.03,430.17,430.17 Cr
113,LOADS,Loads Limited,AUTOMOBILE PARTS & ACCESSORIES,11.5,0.12,1.05%,22.6,10.93,2.02 Lac,0.04,426.94,426.94 Cr
114,IBLHL,IBL HealthCare Limited,PHARMACEUTICALS,41.18,0.2,0.49%,85.82,28.0,71.14 K,0.03,405.73,405.73 Cr
115,RCML,Reliance Cotton Spinning Mills Limited,TEXTILE SPINNING,360.93,-19.07,-5.02%,745.59,341.0,275,0.01,384.46,384.46 Cr
116,BIFO,Biafo Industries Limited,CHEMICAL,82.39,0.14,0.17%,207.1,79.1,81.01 K,0.04,382.15,382.15 Cr
117,SPWL,Saif Power Limited,POWER GENERATION & DISTRIBUTION,9.82,0.02,0.20%,14.15,8.01,1.75 Lac,0.06,379.52,379.52 Cr
118,NRSL,Nimir Resins Limited,CHEMICAL,26.55,1.09,4.28%,48.7,20.6,1.25 Lac,0.03,375.21,375.21 Cr
119,BRRG,B.R.R Guardian Limited,PROPERTY,39.41,-1.59,-3.88%,48.65,19.33,1.92 K,0.06,374.43,374.43 Cr
120,DCL,Dewan Cement Limited,CEMENT,7.58,0.06,0.80%,16.6,6.61,5.44 Lac,0.04,366.96,366.96 Cr
121,TPLP,TPL Properties Limited,PROPERTY,6.45,-0.07,-1.07%,13.55,6.0,12.97 Lac,0.07,361.9,361.9 Cr
122,SCL,Shield Corporation Limited,FOOD & PERSONAL CARE PRODUCTS,914.31,23.01,2.58%,1020.0,229.3,582,0.01,356.58,356.58 Cr
123,MFFL,Mitchells Fruit Farms Limited,FOOD & PERSONAL CARE PRODUCTS,154.03,-0.95,-0.61%,237.0,139.66,8.92 K,0.02,352.34,352.34 Cr
124,CPPL,Cherat Packaging Limited,"PAPER, BOARD & PACKAGING",68.29,0.28,0.41%,143.0,64.79,2.38 K,0.06,335.27,335.27 Cr
125,FHAM,First Habib Modaraba,MODARABAS,28.98,0.38,1.33%,39.49,19.13,3.1 K,0.08,321.19,321.19 Cr
126,EXIDE,Exide Pakistan Limited,AUTOMOBILE PARTS & ACCESSORIES,410.36,-4.32,-1.04%,951.0,365.0,4.8 K,0.02,318.79,318.79 Cr
127,GTYR,Ghandhara Tyre & Rubber Company Limited,AUTOMOBILE PARTS & ACCESSORIES,24.85,0.33,1.35%,51.5,22.26,70.56 K,0.04,303.0,303 Cr
128,SYM,Symmetry Group Limited,TECHNOLOGY & COMMUNICATION,10.2,-0.07,-0.68%,17.04,9.01,6.11 Lac,0.04,290.95,290.95 Cr
129,WAVES,Waves Corporation Limited,CABLE & ELECTRICAL GOODS,9.72,-0.18,-1.82%,16.95,6.46,28.09 Lac,0.05,273.53,273.53 Cr
130,DINT,Din Textile Mills Limited,TEXTILE SPINNING,51.58,4.69,10%,119.88,41.36,2.29 K,0.01,270.62,270.62 Cr
131,FTMM,First Treet Manufacturing Modaraba,MODARABAS,12.97,0.17,1.33%,23.9,3.5,670,0.0,253.69,253.69 Cr
132,CLOV,Clover Pakistan Limited,FOOD & PERSONAL CARE PRODUCTS,64.61,2.63,4.24%,88.64,32.26,8.55 Lac,0.04,251.52,251.52 Cr
133,FRCL,Frontier Ceramics Limited,GLASS & CERAMICS,63.56,0.0,0%,109.0,19.02,1,0.0,240.73,240.73 Cr
134,STCL,Shabbir Tiles & Ceramics Limited,GLASS & CERAMICS,9.95,0.0,0%,19.78,8.55,9.63 Lac,0.04,238.12,238.12 Cr
135,BWHL,Baluchistan Wheels Limited,AUTOMOBILE PARTS & ACCESSORIES,177.03,0.03,0.02%,257.92,114.01,12.35 K,0.04,236.06,236.06 Cr
136,BHAT,Bhanero Textile Mills Limited,TEXTILE COMPOSITE,765.0,0.0,0%,1194.18,665.0,7,0.0,232.63,232.63 Cr
137,KOHE,Kohinoor Energy Limited,POWER GENERATION & DISTRIBUTION,13.48,-0.17,-1.24%,23.49,12.33,1.75 Lac,0.03,228.43,228.43 Cr
138,SSOM,S.S.Oil Mills Limited,VANASPATI & ALLIED INDUSTRIES,398.48,2.99,0.76%,1179.75,138.0,12.79 K,0.02,225.48,225.48 Cr
139,QUICE,Quice Food Industries Limited,FOOD & PERSONAL CARE PRODUCTS,22.83,-0.39,-1.68%,46.06,5.5,22.99 Lac,0.05,224.79,224.79 Cr
140,WAHN,Wah Noble Chemicals Limited,CHEMICAL,243.83,0.0,0%,435.0,196.02,104,0.02,219.45,219.45 Cr
141,BERG,Berger Paints Pakistan Limited,CHEMICAL,86.61,-0.51,-0.59%,129.15,73.55,3.62 K,0.03,212.64,212.64 Cr
142,SHEZ,Shezan International Limited,FOOD & PERSONAL CARE PRODUCTS,215.11,3.47,1.64%,308.81,121.99,522,0.03,207.86,207.86 Cr
143,NSRM,The National Silk & Rayon Mills Limited,SYNTHETIC & RAYON,131.9,0.0,0%,224.8,29.07,65,0.0,205.15,205.15 Cr
144,ECOP,Ecopack Limited,MISCELLANEOUS,40.09,1.28,3.30%,98.46,28.5,1.46 Lac,0.04,193.47,193.47 Cr
