symbol,Points,Weight,Cur.,Chg,Chg %,52WK High,52WK Low,Vol,Market Cap
,0.33,1.11,42.57,0.02,0.05%,62.84,36.26,64.66 Lac,10441.77 Cr
FCCL,,,,,,,,,
,,,,,,,,,
,1.26,0.17,74.71,0.89,1.21%,113.63,63.86,78.62 K,5727.24 Cr
FCEPL,,,,,,,,,
,,,,,,,,,
,0.23,0.1,21.02,0.08,0.38%,28.56,18.51,5.29 Lac,1354.9 Cr
FCL,,,,,,,,,
,,,,,,,,,
,-0.21,0,15.85,-1.51,-8.70%,57.06,11.25,13.7 K,17.97 Cr
FECM,,,,,,,,,
,,,,,,,,,
,0.6,0.03,85.76,2.56,3.08%,195.75,55,2.75 Lac,430.17 Cr
FECTC,,,,,,,,,
,,,,,,,,,
,0,0.01,8,0,0%,17.7,2.32,21.4 K,41.95 Cr
FEM,,,,,,,,,
,,,,,,,,,
,1.07,0.16,339.15,3.83,1.14%,475,242.33,2.52 K,1474.25 Cr
FEROZ,,,,,,,,,
,,,,,,,,,
,47.35,12.81,492.26,3.04,0.62%,685,314.18,18.26 Lac,70837.36 Cr
FFC,,,,,,,,,
,,,,,,,,,
,0.27,0.23,14.89,0.03,0.20%,23.93,11.25,15.93 Lac,3752.23 Cr
FFL,,,,,,,,,
,,,,,,,,,
,0.15,0,6.5,0.44,7.26%,17.55,1.55,7.76 K,17.17 Cr
FFLM,,,,,,,,,
,,,,,,,,,
,0.66,0.08,28.98,0.38,1.33%,39.49,19.13,3.1 K,321.19 Cr
FHAM,,,,,,,,,
,,,,,,,,,
,-0.01,0,11.21,-0.03,-0.27%,22.24,2.55,33.91 K,24.31 Cr
FIBLM,,,,,,,,,
,,,,,,,,,
,0,0.01,192.66,0,0%,397.69,164,1,57.8 Cr
FIMM,,,,,,,,,
,,,,,,,,,
,0.65,0.13,41.33,0.34,0.83%,62.85,25.05,5.36 K,2871.61 Cr
FLYNG,,,,,,,,,
,,,,,,,,,
,0,0.05,39.05,0,0%,93.05,34.05,348,1559.69 Cr
FML,,,,,,,,,
,,,,,,,,,
,-0.03,0,5.09,-0.11,-2.12%,12.46,2.17,30.08 K,17.32 Cr
FPJM,,,,,,,,,
,,,,,,,,,
,0,0,11.7,0,0%,16.99,6.5,7,16.13 Cr
FPRM,,,,,,,,,
,,,,,,,,,
